r1,g1,b1,mean,sd,median,intensity
217,202,211,209.7783703703704,11.77552457738942,209.66666666666666,670pm
219,203,211,211.0672592592593,10.8577932252787,212.66666666666666,670pm
230,217,225,224.05729585006696,11.447441996011742,224.66666666666666,670pm
232,220,228,227.07426345264182,9.322296201684695,227.33333333333334,670pm
220,205,214,213.16546184738957,11.913675947661735,213.66666666666666,670pm
231,220,228,226.3836680053547,8.31737487357598,226.66666666666666,670pm
215,200,210,208.40401606425704,12.84301958651848,208.0,670pm
228,215,223,222.0418594404054,12.831049573533575,224.0,670pm
228,235,240,234.66741196198993,4.79395976712704,235.0,0
219,224,230,224.26557126480702,5.028546927193022,224.66666666666666,0
219,226,230,224.76257801553945,4.962083278727988,224.0,0
212,217,224,217.48482373757997,3.2540954539420746,217.66666666666666,0
226,234,237,232.31269901923318,5.056736525417757,232.66666666666666,0
220,225,230,225.17986870897155,5.042622444781905,225.0,0
214,223,227,221.07871608712267,4.371334604931465,221.0,0
226,232,235,230.88332696471787,7.075273783278868,232.0,6.7nm
221,222,226,223.02840402496494,5.849489963099322,223.0,6.7nm
219,222,227,222.6916316392816,7.586211284111658,223.0,6.7nm
223,225,229,225.92968636032094,4.859626045696605,225.66666666666666,6.7nm
218,217,221,218.42027716994895,6.098145917683834,218.33333333333334,6.7nm
221,225,230,225.00218818380745,6.344831596728557,225.0,6.7nm
218,220,225,220.90192332186984,6.8966983378310545,220.0,6.7nm
220,221,225,222.20926189347244,4.211536883963421,222.66666666666666,6.7pm
223,226,230,226.76971708550658,4.900024854978628,227.0,6.7pm
227,233,236,232.01919150673746,4.694732159465525,232.0,6.7pm
222,229,232,227.59926426960956,5.413955227983451,227.66666666666666,6.7pm
221,222,227,223.22607867156665,5.570996214273879,223.66666666666666,6.7pm
221,228,231,226.71716346808222,4.598299480033074,226.66666666666666,6.7pm
219,224,227,223.38774617067833,4.348931764255874,223.33333333333334,6.7pm
219,225,229,224.4730034413196,6.272120618031687,225.0,6.7pm
214,207,213,211.30220335556905,7.694032849978498,210.66666666666666,67nm
216,213,219,216.14112851866003,7.495284719935821,216.66666666666666,67nm
228,225,229,227.44201312910283,5.75662537846118,226.33333333333334,67nm
218,213,219,216.48840262582056,8.218752711664067,216.66666666666666,67nm
219,217,222,219.14049165711378,8.58619576660084,219.0,67nm
217,213,220,216.59795769511305,8.197465448977027,216.66666666666666,67nm
216,212,217,214.82842949942682,6.077464819784891,215.66666666666666,67nm
220,217,223,220.08971553610505,9.751663531954511,219.0,67nm
217,224,228,222.83032800961703,4.31322095320377,222.66666666666666,67pm
219,223,229,223.65266405601042,6.914530289733241,225.0,67pm
219,226,229,224.55179779280883,5.937894431269414,225.0,67pm
217,223,228,222.82835467045993,4.3416279049804825,222.33333333333334,67pm
216,220,226,220.83670869952874,4.785537649675168,221.0,67pm
219,225,230,224.9679066374909,4.18429570897517,225.0,67pm
211,210,215,212.16911648490597,4.8243862736970335,212.0,670nm
215,218,224,218.8817204301075,5.424758465425627,218.66666666666666,670nm
209,205,212,208.85032400821873,7.396490005867579,207.66666666666666,670nm
206,204,211,207.1328488913732,9.878357214619903,207.33333333333334,670nm
227,236,239,233.9628575944365,5.037841181528126,234.0,670nm
215,212,219,215.63019693654266,6.927215809894285,215.66666666666666,670nm
214,217,222,217.48854850474106,3.8683448731989625,217.33333333333334,670nm
220,221,227,222.8298625289234,10.575628894895434,223.66666666666666,670nm

